customer_id,signup_date,channel,region
1,2024-01-15,organic,US
2,2024-03-31,referral,US
3,2024-02-09,email,Canada
4,2024-01-28,referral,UK
5,2024-01-06,email,UK
6,2024-01-06,email,Canada
7,2024-01-02,social,Canada
8,2024-03-01,email,UK
9,2024-01-28,referral,UK
10,2024-02-06,email,Canada
11,2024-01-01,social,US
12,2024-04-15,social,US
13,2024-02-23,referral,Canada
14,2024-01-08,paid_search,US
15,2024-01-07,paid_search,Canada
16,2024-01-07,email,US
17,2024-01-11,organic,US
18,2024-01-23,email,UK
19,2024-01-17,referral,UK
20,2024-01-11,referral,US
21,2024-01-29,referral,US
22,2024-01-05,referral,UK
23,2024-01-11,referral,UK
24,2024-01-14,social,UK
25,2024-01-19,paid_search,Canada
26,2024-02-16,referral,US
27,2024-01-07,organic,UK
28,2024-01-22,organic,US
29,2024-01-27,organic,Canada
30,2024-01-02,organic,Canada
31,2024-01-29,social,UK
32,2024-01-06,organic,Canada
33,2024-01-03,referral,US
34,2024-03-30,email,UK
35,2024-04-11,organic,US
36,2024-02-19,social,US
37,2024-01-11,social,Canada
38,2024-01-04,organic,Canada
39,2024-02-04,email,Canada
40,2024-01-18,organic,Canada
41,2024-01-04,social,Canada
42,2024-01-21,paid_search,UK
43,2024-01-02,referral,US
44,2024-03-13,social,US
45,2024-01-09,organic,US
46,2024-02-02,referral,US
47,2024-01-12,organic,Canada
48,2024-01-23,organic,US
49,2024-01-24,paid_search,UK
50,2024-01-07,referral,UK
51,2024-04-14,referral,US
52,2024-02-14,paid_search,US
53,2024-03-25,social,UK
54,2024-03-08,organic,UK
55,2024-01-28,email,Canada
56,2024-03-17,organic,UK
57,2024-01-03,organic,Canada
58,2024-01-07,social,Canada
59,2024-01-02,organic,Canada
60,2024-01-12,paid_search,Canada
61,2024-01-15,paid_search,Canada
62,2024-01-10,referral,US
63,2024-02-22,email,UK
64,2024-01-14,organic,Canada
65,2024-01-10,organic,UK
66,2024-01-24,social,UK
67,2024-01-05,paid_search,Canada
68,2024-02-18,email,US
69,2024-01-03,referral,Canada
70,2024-05-10,paid_search,US
71,2024-02-14,referral,UK
72,2024-01-07,social,US
73,2024-01-01,social,US
74,2024-02-20,organic,US
75,2024-02-06,email,UK
76,2024-02-09,referral,UK
77,2024-02-14,paid_search,US
78,2024-01-03,social,US
79,2024-01-14,organic,Canada
80,2024-01-04,organic,US
81,2024-02-29,referral,Canada
82,2024-01-30,social,US
83,2024-01-13,email,Canada
84,2024-01-02,social,UK
85,2024-01-12,referral,US
86,2024-01-12,referral,US
87,2024-02-09,social,US
88,2024-01-31,referral,US
89,2024-03-06,social,Canada
90,2024-01-20,paid_search,US
91,2024-01-04,social,UK
92,2024-02-07,social,UK
93,2024-02-12,referral,US
94,2024-01-25,referral,UK
95,2024-02-14,organic,US
96,2024-01-21,organic,US
97,2024-01-23,paid_search,UK
98,2024-01-17,organic,US
99,2024-01-01,social,UK
100,2024-01-04,referral,Canada
